Company Symbol,Market Cap,Authorized Shares,Outstanding Shares,Par Value,SEC Filings,Address,Website,Phone,Email,Audited Financials,Latest Report,Fiscal Year End,Company Officers,BOARD OF DIRECTORS,Employees
ASGTF,"1,605,728,202",,"46,141,615",,,"33 Yonge Street Suite 500 Toronto, ON M5E 1G4 Canada",www.altusgroup.com/investor-relations,+1 416-641-9590,terrie.devonish@altusgroup.com,Audited,,Dec-31,,,
ASGXF,,,,,,Mintflower Place 2nd Floor Hamilton HM 08 Bermuda,,441-296-6485,,,09/30/2001,,"John A. (Jack) Scanlon (CEO), Bill Barney (President, COO), Stefan A. Riesenfeld (CFO)",,
ASHGF,,,,,,,,,,,,,,,
ASHI,"228,076","1,000,000,000","5,430,374",0.001,03/03/2017,"9605 W 49th Ave. #200 Wheat Ridge, CO 80033",malattyco@aol.com,303 422 8127,,Unaudited,06/30/2023 Annual Report,Jun-30,"Redgie T Green (CEO), Michael A Littman (Secretary), Shelly Williams (Asst. Secretary)","Redgie T Green, Michael A Littman, Calvin Smiley",0 as of 08/24/2022
ASHLF,,,"143,975,904",,,"Level 10, 92 Pitt Street, Sydney, NSW 2000 Australia",ashleyservicesgroup.com.au,+61 2 9216 4747,,Audited,,Jun-30,,,
ASHTF,"32,506,900,000",,"445,300,000",,,100 Cheapside London EC2V 6DT United Kingdom,www.ashtead-group.com,+ 44(0)20 7726 9700,wshaw@ashtead-group.com,Audited,,Apr-30,"Geoffrey Drabble (CEO), Eric Watkins (Corporate Secretary, Securities Counsel), Ian Robson (Finance Director)",,
ASHTY,"33,111,394,750",,"445,300,000",,,100 Cheapside London EC2V 6DT United Kingdom,www.ashtead-group.com,+ 44(0)20 7726 9700,wshaw@ashtead-group.com,Audited,,Apr-30,"Geoffrey Drabble (CEO), Eric Watkins (Corporate Secretary, Securities Counsel), Ian Robson (Finance Director)",,
ASHXF,"8,437,271",Unlimited,"112,496,943",,,"724 Sarcee Street East Kamloops, BC V2H 1E7 Canada",progressiveplanet.ca,+1 800 910-3072,chris@progressiveplanet.ca,Audited,04/30/2023 Annual Report,Apr-30,"Stephen Kenneth Harpur (CEO), Christopher Gregory Halsey-Brandt (CFO), Igor Moraes Zonenschein (Consultant)","Edward Beggs, Randy Gue, Suzanne Hall, Stephen Kenneth Harpur",9 as of 12/15/2023
ASII,"550,169","2,500,000,000","1,375,421,798",,12/31/2023,"2810 N. Arcadia Ct Unit A210 Palm Springs, CA 92262",www.diamondcreekwater.com,+1 323-536-3969,contact@goodhemplivin.com,Audited,09/30/2023,Dec-31,Eduardo Brito (CEO),,
ASKE,"656,208","15,000,000,000","6,562,076,629",0.00001,,"7300 NW 5TH Street Plantation, FL 33317",aske@corpxc.com,305-244-5291,,Unaudited,01/31/2018 Annual Report,Jan-31,"Gregory Bourque (CEO), Jay King (Consultant)","Chelsea Krost, Jordan Weinstein",3 as of 01/17/2018
ASKH,"2,356,757","140,000,000","79,890,066",0.001,,"Level 1, 703 Rosebank Road Avondale Auckland 1348 New Zealand",www.igacguisition.com,+64 9 8209421,markr@cswy.co.nz,Unaudited,12/31/2023 Annual Report,Dec-31,"Mark W. Richards (President, Vice President, Treasurer), Ralph T Willmott (Secretary), Steve Medley (Consultant), IQ Acquisitions Ltd (Consultant), Deng Funan (Gen. Manager)","Deng Funan, Mark W. Richards, Ralph T Willmott, Jian Xu",4 as of 06/06/2023
ASKLF,"594,158,070",,"31,189,400",,,"Toyosu Cubic Garden 3-2-3 Toyosu, Koto-ku Tokyo 135-0061 Japan",www.askul.co.jp,03-4330-5001,,,,,"Shoichiro Iwata (President, CEO)",,
ASKPF,,,"30,563,199",,,"5-1, Shibaura 2-Chome, Minato-ku, Tokyo 108-8532 Japan",www.aska-pharma-hd.co.jp/english,+81 3-5484-8845,,Audited,,Mar-31,,,
ASLHF,"316,517,175",,"422,022,900",,,,,,,,,,,,
ASLM,,,,0.1,,"3503 E. 17th Ave. Spokane, WA 99223",,509-534-7277,,,,,"E. Wafford Conrad (President), Kay Conrad (Vice President, Treasurer, Secretary)",,
ASLRF,,,,,,"Berkeley Square House Berkeley Square London, ENG W1J 6BD United Kingdom",www.ariansilver.com/s/home.asp,+44 (0)20 7887 6599,,Audited,,Dec-31,Jim Williams (CEO),,58 as of 12/31/2012
ASLTY,,,,,,,,,,,,,,,
ASMIY,"36,984,416,756","82,500,000","49,428,548",0.4,09/02/2015,Versterkerstraat 8 Almere 1322 AP Netherlands,www.asm.com,+31 88 100 8810,investor.relations@asm.com,Audited,03/31/2024 Quarterly Report,Dec-31,"Pauline van der Meer Mohr (Chairman of the Supervisory Board), Benjamin Loh (CEO), Lynette Song (Officer), Paul Verhagen (CFO), Hichem M'Saad (CTO), Sjoukje Ensink (Administrator), Corinne Jongejeugd (Executive Assistant), Valentina Fantigrossi (IR), Petra van Eijk (Other)","Stefanie Kahle-Galonske, Marc de Jong, Didier Lamouche, Monica de Virgiliis, Adalio Sanchez","2,583 as of 12/31/2020"
ASMLF,"432,965,994,000","699,999,000","409,800,000",,,De Run 6501 Veldhoven LA 5504 Netherlands,www.asml.com,+31 40 268 3938,,Audited,12/31/2023,Dec-31,"D.J. Dunn (President, CEO), P.T.F.M. Wennink (CFO)",,"11,318 as of 12/31/2014"
ASMMF,,,,,,,asm-au.com,,,Audited,,Jun-30,,,
ASMVF,"4,887,068,200",,"410,678,000",,,"12-F, Watson Centre 16 Kung Yip Street Kwai Chung Hong Kong",www.asmpacific.com,852-2424-2021,investor.relation@asmpt.com,Audited,,Dec-31,"James Chow (COO), Ng Cher Tat, Robin (CFO)",,"15,200 as of 12/31/2010"
ASMVY,"5,112,941,100",,"410,678,000",,,"12-F, Watson Centre 16 Kung Yip Street Kwai Chung Hong Kong",www.asmpacific.com,852-2424-2021,investor.relation@asmpt.com,Audited,,Dec-31,"James Chow (COO), Ng Cher Tat, Robin (CFO)",,"15,200 as of 12/31/2010"
ASMXF,"34,785,834,940","82,500,000","49,428,548",0.04,09/02/2015,Versterkerstraat 8 Almere 1322 AP Netherlands,www.asm.com,+31 88 100 8810,investor.relations@asm.com,Audited,03/31/2024 Quarterly Report,Dec-31,"Pauline van der Meer Mohr (Chairman of the Supervisory Board), Benjamin Loh (CEO), Lynette Song (Officer), Paul Verhagen (CFO), Hichem M'Saad (CTO), Sjoukje Ensink (Administrator), Corinne Jongejeugd (Executive Assistant), Valentina Fantigrossi (IR), Petra van Eijk (Other)","Stefanie Kahle-Galonske, Marc de Jong, Didier Lamouche, Monica de Virgiliis, Adalio Sanchez","2,583 as of 12/31/2020"
ASNCF,,,,,,,,,,,,,,,
ASNFF,,,"907,927,488",,,"AsiaInfo Plaza, Courtyard #10 East, Zhongguancun Software Park Phase II, Beijing 100193 China",www.asiainfo.com/en_us/index.html,+86 10 8216 6688,ir@asiainfo.com,Audited,,Dec-31,,,
ASNGF,,,,,,,,,,,,,,,
ASNHF,"44,025",,"40,022,458",,,"10153 E. Hampton Avenue, Suite 101 Mesa, AZ 85209",www.asantae.com,602-272-6823,customerservice@asantae.com,,,Dec-31,Pamela Egan (CFO),,
ASNXF,"149,707,247",,"12,341,900",,,"1-33-15, Shinjuku Shinjuku-Ku Tokyo 160-0022 Japan",,81-3-3226-5511,,Audited,,Mar-31,,,
ASOMF,"477,040,066",,"99,590,828",,,Greater London House Hampstead Road London NW1 7FB United Kingdom,www.asosplc.com,+44(0)20 7756 1000,,Audited,,Aug-31,"Nick Robertson (CEO), Nick Beighton (CFO)",Brian McBride,"2,000 as of 05/31/2013"
ASOMY,"468,076,892",,"99,590,828",,,Greater London House Hampstead Road London NW1 7FB United Kingdom,www.asosplc.com,+44(0)20 7756 1000,,Audited,,Aug-31,"Nick Robertson (CEO), Nick Beighton (CFO)",Brian McBride,"2,000 as of 05/31/2013"
ASOZF,"1,379,115,123",,"77,565,530",,,Olchowa 14 Street Rzeszow 35-322 Poland,www.asseco.com,,info@asseco.pl,,,Dec-31,,,
ASOZY,"1,743,006,363",,"83,000,303",,,Olchowa 14 Street Rzeszow 35-322 Poland,www.asseco.com,,info@asseco.pl,,,Dec-31,,,
ASPD,,,,,,"96 Spring Street 6th Floor New York, NY 10012",,+1 646-780-5451,,,,,,,
ASPHF,,,,,,,www.ascentagepharma.com,,,Audited,,Dec-31,,,
ASPR,"28,366","880,000,000","141,830,741",0.0001,,"7339 E. Williams Drive Unit 26496 Scottsdale, AZ 85255",www.smallcapcompliance.com,+1 6027938058,rhonda@smallcapcompliance.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Rhonda Lee Keaveney (CEO, Executive Director, Secretary, Treasurer)",,1 as of 08/30/2023
ASPT,"21,855","230,000,000","218,547,234",,,,,,,,,,,,
ASPU,"5,697,203","60,000,000","25,931,741",0.001,,"4605 and 4615 e. Elwood St STE 100, 110, 300, 400 Phoenix, AZ 85040",www.aspu.com,+1 6464485144,IR@aspen.edu,Audited,01/31/2024 Quarterly Report,Apr-30,"Michael Mathews (CEO), Matthew LaVay (CFO), Cheri St. Arnauld (Chief Academic Officer), Rozanna Shulman (Controller)","Michael Mathews, Andrew Kaplan, Douglas Kass, Michael L Koehneman, Joan Prince, Sanford R Rich",257 as of 05/31/2023
ASPW,"2,098",,"20,979,877",0.0001,03/25/2015,"1999 Mt. Read Boulevard Rochester, NY 14615",www.aristapower.com,(585) 243-4040,,Audited,09/30/2014,Dec-31,"William A. Schmitz (CEO, President), Adeeb Saba (COO), Stephen Brown (Acting CFO, Treasurer, Principal Fin. Officer, Principal Acct. Officer), Molly Hedges (VP, Fin., Controller), Cherrie Mahon (Vice President)","John P. Blake, Pierre Leignadier, George Naselaris, William A. Schmitz, Dov Schwell",
ASPZ,"2,301,092","2,000,000,000","72,819,362",0.001,,"1621 Central Avenue Cheyenne, WY 82001",www.aspzgold.com,+1 518-638-8192,info.aspzgold@gmail.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"Debra Childers (President, Vice President, Treasurer)",Debra Childers,2 as of 05/01/2024
ASRAF,"53,008,000",,"132,520,000",,,Piazzale Dino Viola 1 - 00128 Rome Italy,,,,Audited,,Dec-31,,,
ASRE,"10,360,039","100,000,000","80,310,382",0.001,06/12/2024,"9565 Waples Street Suite 200 San Diego, CA 92121",www.astraenergyinc.com,(800) 705-2919,lisa@merakicsi.ca,Audited,02/29/2024,Aug-31,"Ronald W Loudoun (CEO), Kermit Alan Harris (President), Claudio Flamini (CFO), Lisa V Thompson (Corporate Secretary)","Ronald W Loudoun, Benjamin Grier, Kermit Alan Harris, David Lutz, Dr. Robert R. Holcomb MD, Ph.D.",1 as of 08/16/2023
ASRMF,"8,438,943,000",,"277,050,000",,06/07/2024,"Bosque de Alisos No. 474 4th Floor Mexico, D.F. 05120 Mexico",www.asur.com.mx,52 55 5284 0408,,Audited,12/31/2023,Dec-31,"Kjeld Binger (President, CEO), Felisa Perez (COO), Adolfo Castro Rivas (CFO)",,
ASROF,,,,,,,,,,,,,,,
ASRRF,,,,,,,,,,,,,,,
ASTA,"4,010,901","6,880,500,000","6,684,834,972",0.001,,"12361 East Cornell Ave. Aurora, CO 80014",www.astra-veda.com,+1 7025508161,services@astra-veda.com,Unaudited,03/31/2024 Quarterly Report,Dec-31,"James Michael Davis (CEO, Secretary, Treasurer), Neil Reithinger (CPA, Advisor), Scott Shires (Other)",James Michael Davis,1 as of 12/31/2023
ASTO,"7,462,856","20,000,000","2,275,261",0.01,,"1650 Lake Cook Road Suite 190 Deerfield, IL 60015",www.unilux.com,224-515-8111,sah@astrostrobe.com,Unaudited,01/31/2024 Quarterly Report,Oct-31,"Steve Hirsh (President), Margaret Kurnov (CFO, Secretary, Treasurer), Michael Simonis (Asst. Secretary)","Steve Hirsh, William Blethen",36 as of 10/31/2023
ASTTF,,,,,,,,,,,,,,,
ASTVF,"1,749,451,162",,"202,717,400",,,Alfabygget Storebo 5392 Norway,www.auss.no,+47 56 18 10 00,info@auss.no,,,Dec-31,"Arne Mogster (CEO), Britt Kathrine Drivenes (CFO)",,
ASUTZ,,,,,,No 150 Li-Te Road Peitou Taipei Taiwan,www.asus.com.tw,+886 2 2894 3447,,,,Dec-31,Shi Chong Tang (President),,
ASUUY,"11,874,040,972",,"752,760,300",,,No 150 Li-Te Road Peitou Taipei Taiwan,www.asus.com.tw,+886 2 2894 3447,,,,Dec-31,Shi Chong Tang (President),,
ASWRF,"2,930,930",,"119,629,786",,,"Suite 400-1688 152 Street Surrey, BC V4A4N2 Canada",gungnirresources.com,604-240-9232,info@anglo-swiss.com,Audited,09/30/2011 Interim Financial Report,Dec-31,"Jari Paakki (CEO), Chris Robbins (CFO, Vice President, Corporate Secretary), David Constable (Advisor)","Todd Keast, Thomas John Obradovich, Blair David Zaritsky",4 as of 03/01/2011
ASXFF,"8,097,583,290",,"193,583,153",,,"Exchange Centre 20 Bridge Street Sydney, NSW 2000 Australia",www.asx.com.au,+612 9338 0000,investor.relations@asx.com.au,Audited,,Jun-30,"Elmer Funke Kupper (CEO), Ramy Aziz (CFO), Michelle McAllister (Director, Corp. Comm.), Giri Tenneti (Manager)",,
ASXFY,"8,202,627,014",,"193,595,162",,,"Exchange Centre 20 Bridge Street Sydney, NSW 2000 Australia",www.asx.com.au,+612 9338 0000,investor.relations@asx.com.au,Audited,,Jun-30,"Elmer Funke Kupper (CEO), Ramy Aziz (CFO), Michelle McAllister (Director, Corp. Comm.), Giri Tenneti (Manager)",,
ASXSF,"6,691,585",Unlimited,"28,421,613",,,"9th Floor -1021 West Hastings Street Vancouver, BC V6E 0C3 Canada",elyseedevelopment.com,+1 (778) 373-1562,info@elyseedevelopment.com,Audited,11/30/2013,Dec-31,"Stuart Rogers (President, CEO), Gordon Steblin (CFO)","Guido Cloetens, Martin Burian, Erwin Holsters, Tom Ogryzlo, Stuart Rogers",3 as of 07/14/2014
ATAAY,,,,,,,www.atacadao.com.br,,,,,,,,
ATACF,,,"61,300,981",,,"410 - 625 Howe Street Vancouver, BC V6C 2T6 Canada",atacamacopper.ca,+1 (604) 646 1890,info@atacamacopper.ca,Audited,,Dec-31,,,
ATAO,"1,267,523","500,000,000","31,975,852",0.001,05/28/2024,"322 North Shore Drive Building 1B Pittsburgh, PA 15212",altairinternationalcorp.com,(412) 770-3140,info@altairinternationalcorp.com,Audited,04/23/2024 8K Report,Mar-31,"Leonard Lovallo (President, CEO)",Leonard Lovallo,2 as of 01/22/2023
ATAQF,,,,,,"40 West 57th Street 33rd Floor New York, NY 10019",,+1 (212) 287-6767,,Audited,06/30/2023,,,,
ATAR,"1,033","190,000,000","103,262,215",0.001,06/19/2017,"424 West Bakerview Rd Unit 105-268 Bellingham, WA 98226",ron@northarm.com,604-620-9110,,Audited,01/31/2017 Quarterly Report,Jul-31,Edward Minnema (Secretary),Edward Minnema,
ATAZF,,,,,,,,,,,,,,,
ATBBF,,,,,,,,,,,,,,,
ATBHF,"20,029,981",Unlimited,"248,819,635",,,"80 Richmond Street West, Suite 204 Toronto, ON M5H 2A4 Canada",www.astonbayholdings.com,+1 416 456-3516,thomas.ullrich@astonbayholdings.com,Audited,12/31/2023 Quarterly Report,Mar-31,"Thomas Ullrich (CEO), Dwight Walker (CFO)","Jessie Liu-Ernsting, Gary O'Connor, Mark Pryor, Thomas Ullrich, Jeffrey Ross Wilson",1 as of 02/28/2024
ATBPF,"11,428,818",Unlimited,"53,009,362",,,"15 Prince Arthur Avenue Toronto, ON M5R 1B2 Canada",www.antibethera.com,-4797,info@antibethera.com,Audited,12/31/2023 Quarterly Report,Mar-31,"Daniel Legault (CEO), Ana Stegic (Executive Director), Scott Curtis (COO), Alain Wilson (CFO), Philip David Stern (Vice President), Joseph Stauffer (CMO), David Vaughan (Chief Development Officer), Beth Chin (Finance Director)","Robert Hoffman, Roderick Flower, Amal Khouri, Daniel Legault, Walt Macnee, Jennifer McNealey, Yung Wu",11 as of 03/31/2023
ATBSF,"1,452,286,859",,"82,050,105",,,"Mita 43 Mori Bldg., 13-16 Mita 3-chome Tokyo 108-8307 Japan",www.autobacs.co.jp/en,,,,,Mar-31,"Koichi Sumino (President, CEO)",,
ATCC,,"9,999,999,999,999",0,,06/04/2024,"3512 Desert Mesa Road Roanoke, TX 76262",www.atccbank.com,315-254-8553,gmdss11@yahoo.com,,11/22/2021 8K Report,Sep-30,"Seong Y. Lee (CEO), Anthony Lombardo (President, CFO, Secretary), Jong Sun Kim (Secretary)",Seong Y. Lee,3 as of 09/18/2020
ATCD,"6,733,800","2,000,000","4,988",,,"350 Barclay Blvd. Lincolnshire, IL 60069-3606",,847-634-9540,,,,,"Garry Brainin (President, CEO), Thomas Morthorst (CFO)",,
ATCHW,"402,500","999,999,999","20,125,000",,03/31/2024,"4030 Henderson Blvd. Suite 712 Tampa, FL 33629",,(727) 446-6660,,Audited,03/31/2024,,,,
ATCLF,"2,691,970",Unlimited,"448,661,629",0.61415,,"99 Wall St. Suite 2818 New York, NY 10005",www.advancetc.com,+60 123736438,general@advancetc.com,Audited,12/31/2022 Annual Report,Dec-31,"Loi Cheng Pheng (CEO), Lee Gim Keong (COO), Chin Foong Lin (CFO), Fan Shi Jie (CTO), Loi Yeow Koon Jonathan (CTO), Usman Tahir (Marketing Officer)","Cho Chee Tuck, Cho Chee Seng, Jeffrey William King",26 as of 12/12/2021
ATCMF,"17,950,355",Unlimited,"121,286,185",,,"543 Granville Street Suite 501 Vancouver, BC V6C 1X8 Canada",www.aticomining.com,+1 604-633-9022,info@aticomining.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Fernando Elias Ganoza Durant (CEO), Alain Bureau (President), Matias Herrero (CFO), Kim Charisse Casswell (Corporate Secretary), Jorge R. Ganoza Aicardi (VP, Ops., VP, Project Development), Igor Dutina (Contact Person)","Luis Dario Ganoza Durant, Jorge R. Ganoza Aicardi, Fernando Elias Ganoza Durant, Jonathon Goodman, Luis Francisco Saenz, Mario Szlotlender, Michael Dempsey Winn",600 as of 12/31/2019
ATCN,"24,767,421","4,000,000","1,179,401",0.1,,"12600 Executive Dr. Stafford, TX 77477",www.atec.com,281-276--2700,info@atec.com,,,,"Howard Lederer (CEO), Paul Fenley (President), Dan Carley (Senior VP)",Howard Lederer,
ATCUF,"38,070,863",Unlimited,"84,190,320",,,"Suite 801 - 1112 West Pender Street Vancouver, BC V6E 2S1 Canada",altacopper.com,+1 604-689-1957,info@altacopper.com,Audited,03/31/2024 Interim Financial Report,Dec-31,"Joanne C. Freeze (CEO), Dale Found (CFO, Vice President), Maria Paz Alfaro (Executive Assistant)","Giulio T. Bonifacio, Joanne C. Freeze, Andrew Hamilton, Miguel Inchaustegui, Steven Latimer, Christine Nicolau, Sean Waller",10 as of 03/14/2024
ATCV,"35,808",,"7,090,662",0.0001,,"5929 Baker Road Suite 400 Minnetonka, MN 55345",www.atcvg.com,(952) 215-3100,,,03/31/2012,Sep-30,"Robert Davis (CEO, CFO)",Robert Davis,
ATDRF,"8,192,213,439",,"955,532,888",,,"4th Floor, 1 Tony Wilson Place Manchester M15 4FN United Kingdom",www.autotrader.co.uk,+44 (0) 161 669 988,Ir@autotrader.co.uk,Audited,,Mar-31,,,
ATDRY,"10,013,984,666",,"955,532,888",,,"4th Floor, 1 Tony Wilson Place Manchester M15 4FN United Kingdom",www.autotrader.co.uk,+44 (0) 161 669 988,Ir@autotrader.co.uk,Audited,,Mar-31,,,
ATDS,"627,932","500,000,000","313,966",,03/31/2024,"4000 Sancar Way Suite 400 Research Triangle, NC 27709",data443.com,(919) 858-6542,ir@data443.com,Audited,03/31/2024,Dec-31,"Jason Remillard (CEO), Greg McCraw (CFO), Brenda Estanislau (Accountant)",Jason Remillard,23 as of 04/17/2024
ATEAY,,,,,,,,,,,,,,,
ATEPF,"4,674,807",Unlimited,"50,757,947",1,,"Suite 700, 1090 West Georgia Street Vancouver, BC V6E 3V7 Canada",astra-exploration.com,+1 208-830-0869,info@astra-exploration.com,Audited,12/31/2023 Interim Financial Report,Mar-31,"Brian Miller (CEO), Mahesh Nalinda Liyanage (CFO), Sheryl Dhillon (Corporate Secretary), Roberto Alarcon Bittner (VP, Ops.), Victoria Bantz (Other), Diego Guido (Other)","David Caufiled, Charles Walter Funk, Darcy Edward Marud, Brian Miller",1 as of 08/25/2022
ATEYY,"27,213,337,413","1,760,000,000","766,141,256",,,Shin-Marunouchi Center Building 1-6-2 Marunouchi Tokyo 100-0005 Japan,www.advantest.com,+81 3-3214-75009,,Audited,03/31/2015,Mar-31,"Toshio Maruyama (President, CEO)",,
ATGAF,,,,,,"1700, 355 - 4th Avenue, S.W. Calgary, AB T2P 0J1 Canada",www.altagas.ca,+1 403-691-7575,Investor.relations@altagas.ca,Audited,,Dec-31,"David A. Cornhill (CEO), Deborah A. Stein (CFO)",David A. Cornhill,
ATGFF,"6,735,679,938",,"296,204,043",,,"1700, 355 - 4th Avenue, S.W. Calgary, AB T2P 0J1 Canada",www.altagas.ca,+1 403-691-7575,Investor.relations@altagas.ca,Audited,,Dec-31,"David A. Cornhill (CEO), Deborah A. Stein (CFO)",David A. Cornhill,
ATGGF,,,,,,"Level 9, Suite 1, 68 Pitt Street Sydney, NSW 2000 Australia",actinogen.com.au,+61 2 8964 7401,info@actinogen.com.au,,,Jun-30,,,
ATGN,"18,315,212","50,000,000","24,918,656",,,"670 N McCarthy Blvd Suite 200 Milpitas, CA 95035",www.altigen.com,+1 408-597-9000,info@altigen.com,Audited,12/31/2023 Quarterly Report,Sep-30,"Jeremiah J. Fleming (CEO), Carolyn David (VP, Fin., Director, Inv. Rel., CFO)","Jeremiah J. Fleming, Simon S. Chouldjian, Ken Epps, Philip M. McDermott, Keith A. Midkiff",50 as of 03/22/2024
ATGPF,,,,,,"1700, 355 - 4th Avenue, S.W. Calgary, AB T2P 0J1 Canada",www.altagas.ca,+1 403-691-7575,Investor.relations@altagas.ca,Audited,,Dec-31,"David A. Cornhill (CEO), Deborah A. Stein (CFO)",David A. Cornhill,
ATGVF,"258,981","215,277,971","161,863,136",0.0043,,"27-28 Eastcastle Street London, ENG W1W 8DH United Kingdom",www.aegplc.com,+44 20 4566 5090,info@aegplc.com,Audited,12/31/2022 Annual Report,Dec-31,Michael Strafford Rowan (CEO),"James Gerald Leahy, Maxwell Francis Aitken, Jason Leonard Zimmermann",6 as of 08/01/2022
ATHC,"354,244","400,000,000","14,821,912",0.001,,"260 Madison Avenue New York, NY 10016",www.ATHC.com,+1 212-508-7475,info@athcorp.com,Unaudited,03/31/2023 Quarterly Report,Dec-31,"Igor Kogan (CIO), Alex M Lemberg (Advisor), Igor Eric Kuvykin (Consultant), Wayne Greenwald (Consultant)",Igor Kogan,10 as of 10/01/2019
ATHGF,"721,130,775",,"122,225,555",,,"Harlequin Building, 65 Southwark Street, London, ENG SE1 0HR United Kingdom",www.auctiontechnologygroup.com,+44 203 725 5500,investorrelations@auctiontechnologygroup.com,Audited,,Sep-30,,,
ATHHF,"3,636,111",,"54,432,794",,,"8337 Eastlake Drive Unit 104 Burnaby, BC V5A 4W2 Canada",www.aethercatalyst.com,+1 604-690-3797,paul@aethercatalyst.com,,,Dec-31,Paul Woodward (President),Paul Woodward,
ATHI,"2,417,459","4,500,000,000","241,745,895",,,"2690 West Main Street Suite F 105 Littleton, CO 80120",www.ath-inc.com,303-204-8204,info@ath-inc.com,Audited,03/31/2016 Quarterly Report,Jun-30,Jack Corn (CEO),Jack Corn,
ATHJF,"1,729,154",,"144,096,128",,,"Level 1 10 Wallace Ave. Toorak, VA 3142 Australia",www.antisense.com.au,61-3--9827-8999,,Audited,,Jun-30,"Mark Diamond (Managing Director, CEO)",,
ATHJY,"36,837,330",,"982,328,800",,,"Level 1 10 Wallace Ave. Toorak, VA 3142 Australia",www.antisense.com.au,61-3--9827-8999,,Audited,,Jun-30,"Mark Diamond (Managing Director, CEO)",,
ATHNY,,,,,,"Athens International Airport ""El. Venize Spata 19019 Greece",www.aia.gr/investors/en,+30 210 3535000,ir@aia.gr,,,Dec-31,,,
ATHOF,"2,018,726,830",,"554,595,283",,,"Suite 1200, 215 - 9th Avenue SW Calgary, AB T2P 1K3 Canada",www.atha.com,403-237-8227,info@atha.com,Audited,,Dec-31,"Sveinung Svarte (President, CEO), Kim Anderson (CFO), Rob Harding (VP, Corp. Dev.), Tracy Robinson (IR)",,
ATHXQ,"246,992","600,000,000","61,748,035",0.001,,"3201 Carnegie Avenue Cleveland, OH 44115-2634",www.athersys.com/home/default.aspx,(216) 431-9900,info@athersys.com,Audited,04/01/2024 8K Report,Dec-31,"Daniel Camardo (CEO), Maia Hansen (COO), Kasey Rosado (CFO), Alan Donovan (Accountant)","Daniel Camardo, Kasey Rosado",24 as of 12/31/2022
ATIG,"4,471,668","15,000,000,000","14,905,559,295",0.001,,"2831 St. Rose Parkway Suite 200 Henderson, NV 89052",www.atlantisgamingcorporation.com,+1 702-784-7657,info@atlantisgamingcorporation.com,Unaudited,12/31/2023 Annual Report,Dec-31,"Donald L Bailey (CEO, President), Linda I Bailey (EVP, Secretary)","Donald L Bailey, William E Lewis",2 as of 09/07/2021
ATIPW,,,,,,"790 Remington Boulevard Bolingbrook, IL 60440",www.atipt.com,(630) 296-2223,investors@atipt.com,Audited,03/31/2024,Dec-31,,,
ATIW,"1,649","20,000,000","8,243,630",,12/31/2000,"460 Cedar Street Fond du Lac, WI 54935",www.atinetworks.com,920-922-7030,info@atinetworks.com,,06/30/1991,Dec-31,"Lawrence Bestor (CEO), Melissa Vanderbilt-Bestor (Secretary)",Lawrence Bestor,
ATIXF,"2,848,451",Unlimited,"97,216,741",,,"25 Adelaide St. East Suite 709 Toronto, ON M5C 3A1 Canada",www.analytixinsight.com,416-861-2269,info@analytixinsight.com,Audited,06/30/2022 Interim Financial Report,Dec-31,"Chaith Kondragunta (Managing Director), Paul Bozoki (CFO)","Chaith Kondragunta, Catherine Anne Stretch, Jith Veeravalli",20 as of 09/08/2021
ATLCY,,,0,,,SE-105 23 Stockholm Sweden,www.atlascopco.com,+46 8 743 8000,ir@se.atlascopco.com,Audited,,Dec-31,"Gunnar Brock (CEO), Hans Ola Meyer (CFO)",,"37,500 as of 12/31/2011"
ATLDF,,,,,,"First Canadian Place 100 King Street West Toronto, ON M5X 1C9 Canada",www.atgoldinc.com,416-777-0013,info@atgoldinc.com,Audited,09/30/2014 Quarterly Report,Dec-31,"Wm. Ernest Simmons (CEO, President), Peili Miao (Interim CFO)","James K. Gray, Allan J. Folk, Eric J. Berentsen, W. Warren Holmes, John D. Jackson, Wm. Ernest Simmons",8 as of 12/23/2010
ATLEW,,,,,03/31/2024,"505 Lomas Santa Fe Suite 160 Solana Beach, CA 92075",www.artelobio.com,(858) 925-7049,info@artelobio.com,Audited,03/31/2024,Dec-31,"Gregory Gorgas (President, CEO, CFO), Peter O'Brien (Senior VP)","Connie Matsui, Dr. Douglas W. Blayney, R. Martin Emanuele, Georgia Erbez, Gregory Gorgas, Steven Kelly",
ATLFF,,,,,,SE-105 23 Stockholm Sweden,www.atlascopco.com,+46 8 743 8000,ir@se.atlascopco.com,Audited,,Dec-31,"Gunnar Brock (CEO), Hans Ola Meyer (CFO)",,"37,500 as of 12/31/2011"
ATLKY,,,0,,,SE-105 23 Stockholm Sweden,www.atlascopco.com,+46 8 743 8000,ir@se.atlascopco.com,Audited,,Dec-31,"Gunnar Brock (CEO), Hans Ola Meyer (CFO)",,"37,500 as of 12/31/2011"
ATLMF,"718,619,200",,"138,196,000",,,"1, Lambousa Street Nicosia 1095 Cyprus",atalayamining.com,+357 2244 2705,info@atalayamining.com,,,Dec-31,,,
ATLPF,,,,,,SE-105 23 Stockholm Sweden,www.atlascopco.com,+46 8 743 8000,ir@se.atlascopco.com,Audited,,Dec-31,"Gunnar Brock (CEO), Hans Ola Meyer (CFO)",,"37,500 as of 12/31/2011"
